path,bytes,MB,classification,git_recommendation
manifests/cohorts/DATASET_MANIFEST.csv,1100,0.001,OK,OK_TO_STAGE
manifests/cohorts/Dengue7_series_manifest.csv,1065,0.001,OK,OK_TO_STAGE
manifests/cohorts/Electricity37_series_manifest.csv,7656,0.008,OK,OK_TO_STAGE
manifests/cohorts/WHO37_series_manifest.csv,4913,0.005,OK,OK_TO_STAGE
manifests/executability/TP2M5A_INPUT_AUTHORITY_MANIFEST.csv,4094,0.004,OK,OK_TO_STAGE
MODEL_ARCHITECTURES.md,1076,0.001,OK,OK_TO_STAGE
README.md,3118,0.003,OK,OK_TO_STAGE
REPRODUCIBILITY.md,645,0.001,OK,OK_TO_STAGE
requirements.txt,89,0.000,OK,OK_TO_STAGE
results/functional/TP2M4C_R1_SERIES_LEVEL_TP2D_SUMMARY.json,1569,0.002,OK,OK_TO_STAGE
results/functional/TP2M4D_FUNCTIONAL_PER_MODEL.csv,2519,0.003,OK,OK_TO_STAGE
results/functional/TP2M4D_TP2D_SERIES_SUMMARY.csv,1642,0.002,OK,OK_TO_STAGE
results/functional/TP2M5B_R1_GRU_VS_LSTM_FUNCTIONAL_COMMON_CORE.csv,1785,0.002,OK,OK_TO_STAGE
results/functional/TP2M5C_MULTIARCH_FUNCTIONAL_COMMON_CORE.csv,2501,0.003,OK,OK_TO_STAGE
results/intervention/TP2M4B2_R1_COUNTRY_RESULT_MATRIX.csv,10776,0.011,OK,OK_TO_STAGE
results/intervention/TP2M4B2_R1_GATE_TABLE_STRICT_AND_BOUNDARY_AWARE.csv,877,0.001,OK,OK_TO_STAGE
results/intervention/TP2M4E_C_WHO_INTERVENTION_GATES.csv,1818,0.002,OK,OK_TO_STAGE
results/manuscript/TP2M4C_R1_TAXONOMY_PHENOTYPE_CROSSTAB.csv,784,0.001,OK,OK_TO_STAGE
results/manuscript/TP2M5B_R1_GRU_FORECAST_SERIES_SUMMARY.csv,12689,0.013,OK,OK_TO_STAGE
results/manuscript/TP2M5C_TRANSFORMER_FORECAST_SERIES_SUMMARY.csv,9323,0.009,OK,OK_TO_STAGE
results/structural/TP2M4C_R1_SERIES_LEVEL_LATENT_SUMMARY.json,844,0.001,OK,OK_TO_STAGE
results/structural/TP2M4D_LATENT_SERIES_SUMMARY.csv,844,0.001,OK,OK_TO_STAGE
results/structural/TP2M5B_R1_GRU_VS_LSTM_STRUCTURAL_REFERENCE.csv,1919,0.002,OK,OK_TO_STAGE
results/structural/TP2M5C_MULTIARCH_STRUCTURAL_REFERENCE.csv,2730,0.003,OK,OK_TO_STAGE
RESULTS_PROVENANCE.md,286,0.000,OK,OK_TO_STAGE
scripts/reproduce_figures.py,2093,0.002,OK,OK_TO_STAGE
scripts/reproduce_tables.py,1041,0.001,OK,OK_TO_STAGE
scripts/smoke_test_models.py,1938,0.002,OK,OK_TO_STAGE
scripts/verify_data_hashes.py,951,0.001,OK,OK_TO_STAGE
scripts/verify_environment.py,816,0.001,OK,OK_TO_STAGE
scripts/verify_protocol.py,1207,0.001,OK,OK_TO_STAGE
SHA256SUMS.txt,10805,0.011,OK,OK_TO_STAGE
src/__init__.py,0,0.000,OK,OK_TO_STAGE
src/functional_audit/tp2d/__init__.py,11,0.000,OK,OK_TO_STAGE
src/functional_audit/tp2d/functional_math.py,2955,0.003,OK,OK_TO_STAGE
src/intervention/tp2f/__init__.py,118,0.000,OK,OK_TO_STAGE
src/intervention/tp2f/alignment.py,3582,0.004,OK,OK_TO_STAGE
src/intervention/tp2f/functional_effect.py,3090,0.003,OK,OK_TO_STAGE
src/intervention/tp2f/latent_disabled.py,1337,0.001,OK,OK_TO_STAGE
src/intervention/tp2f/losses.py,935,0.001,OK,OK_TO_STAGE
src/intervention/tp2f/receivers.py,4065,0.004,OK,OK_TO_STAGE
src/intervention/tp2f/screening.py,1118,0.001,OK,OK_TO_STAGE
src/latent_alignment/tp2b/__init__.py,61,0.000,OK,OK_TO_STAGE
src/latent_alignment/tp2b/stability_math.py,5611,0.006,OK,OK_TO_STAGE
src/models/__init__.py,0,0.000,OK,OK_TO_STAGE
src/models/__pycache__/__init__.cpython-39.pyc,173,0.000,OK,OK_TO_STAGE
src/models/__pycache__/controlled_receivers.cpython-39.pyc,5468,0.005,OK,OK_TO_STAGE
src/models/controlled_receivers.py,4194,0.004,OK,OK_TO_STAGE
src/models/tarela_py2/__init__.py,240,0.000,OK,OK_TO_STAGE
src/models/tarela_py2/__pycache__/__init__.cpython-39.pyc,430,0.000,OK,OK_TO_STAGE
src/models/tarela_py2/__pycache__/config.cpython-39.pyc,4172,0.004,OK,OK_TO_STAGE
src/models/tarela_py2/__pycache__/model_tf.cpython-39.pyc,4645,0.005,OK,OK_TO_STAGE
src/models/tarela_py2/__pycache__/prepare.cpython-39.pyc,8139,0.008,OK,OK_TO_STAGE
src/models/tarela_py2/config.py,3663,0.004,OK,OK_TO_STAGE
src/models/tarela_py2/losses_tf.py,2346,0.002,OK,OK_TO_STAGE
src/models/tarela_py2/math_reference.py,1721,0.002,OK,OK_TO_STAGE
src/models/tarela_py2/model_tf.py,3980,0.004,OK,OK_TO_STAGE
src/models/tarela_py2/prepare.py,9506,0.010,OK,OK_TO_STAGE
src/models/tarela_py2/training_tf.py,15514,0.016,OK,OK_TO_STAGE
src/preprocessing/tarela_py1/__init__.py,478,0.000,OK,OK_TO_STAGE
src/preprocessing/tarela_py1/pipeline.py,30502,0.031,OK,OK_TO_STAGE
