selection_order,series_id,role,start_date,end_date,n_observations,nonzero_days,nonzero_fraction,test_nonzero_variance_windows,min,max,mean,sum,selection_log1p_mean_initial428,selection_logdiff_vol_initial428,robust_z_scale,robust_z_volatility,eligible,eligibility_reason
11,T104,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,9885.0,54278.0,28927.156801661473,27856852.0,10.318778681621467,0.5195856424936116,0.9898400523133861,26.831562521942608,True,PASS
12,T85,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,522.0,10392.0,2608.5275181723778,2512012.0,7.917481877884144,0.624322381851174,-2.097910082720811,33.139993864038736,True,PASS
13,T86,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,376.0,5153.0,1707.6458982346833,1644463.0,7.609932824467465,0.8209679384136573,-2.493377494220714,44.98421395253757,True,PASS
14,T135,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,3105.0,18527.0,10236.238836967808,9857498.0,9.376699139477125,0.3653332973893255,-0.22154965550690095,17.540741226411743,True,PASS
15,T144,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,6984.0,20234.0,14916.11318795431,14364217.0,9.641992909837995,0.10354529273079749,0.11958304994649589,1.7729059500558486,True,PASS
16,T20,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,1546.0,3898.0,2658.0498442367602,2559702.0,7.8461329978780245,0.2114431931199758,-2.1896553070223432,8.271738172030227,True,PASS
17,T234,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,113163.0,254926.0,185133.55451713395,178283613.0,12.158811153467427,0.04984468590441938,3.3558784797860004,-1.4615521137624676,True,PASS
18,T115,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,276.0,2581.0,886.0218068535826,853239.0,6.376635552025285,0.0756519943231274,-4.079234691712413,0.09285596006462613,True,PASS
19,T3,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,2.0,7600.0,433.55244029075806,417511.0,6.583864774329789,0.360290189747699,-3.812765316432406,17.236988231014486,True,PASS
20,T30,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,894.0,8430.0,3549.190031152648,3417870.0,8.121358200040763,0.4850467871505808,-1.8357520936335774,24.751241911404453,True,PASS
21,T208,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,193.0,10314.0,6784.226375908619,6533210.0,8.720892092474335,0.15495710797760065,-1.0648307920942772,4.869507091607148,True,PASS
22,T316,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,185817.0,642635.0,379054.20872274146,365029203.0,12.843715890152705,0.10018692260514327,4.236575397340748,1.5706269074869461,True,PASS
23,T249,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,494.0,37076.0,25296.295950155763,24360333.0,10.17928047834549,0.2025950772987762,0.8104638105543336,7.738804537592791,True,PASS
24,T133,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,7088.0,43924.0,26547.832814122532,25565563.0,10.244842043788937,0.4764874251922296,0.8947673136598175,24.235700301291217,True,PASS
25,T224,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,13727.0,33001.0,26666.202492211836,25679553.0,10.219453144072082,0.060858440969821896,0.8621205461269253,-0.798179183929718,True,PASS
26,T11,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,2638.0,5870.0,3885.0841121495328,3741336.0,8.299109829738995,0.06770719437885367,-1.6071870042414445,-0.38566977295477944,True,PASS
27,T125,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,8839.0,24704.0,17089.582554517136,16457268.0,9.738141789084459,0.32549067176928964,0.24321779364606336,15.14096756766944,True,PASS
28,T26,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,2695.0,11258.0,7502.004153686396,7224430.0,8.915302024872283,0.4238831301538081,-0.8148453283733931,21.067274536036674,True,PASS
29,T2,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,851.0,3831.0,2733.3447559709243,2632211.0,7.874327718996604,0.12202358871273669,-2.153400624216932,2.8858779810357063,True,PASS
30,T95,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,12371.0,91694.0,54871.75908618899,52841504.0,11.015890718064092,0.12323202102869438,1.886233943026757,2.9586634462272845,True,PASS
31,T100,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,2715.0,9568.0,6002.347871235722,5780261.0,8.719576947214513,0.24032675301772163,-1.06652189497972,10.011432911888427,True,PASS
32,T107,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,913,0.9480789200415368,10,0.0,35847.0,5159.932502596054,4969015.0,8.564604568379142,0.7668047781039498,-1.2657958801575357,41.7218956850359,True,PASS
33,T1,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,82.0,1721.0,568.4330218068536,547401.0,6.297793239464559,0.21255861775785756,-4.180615479325548,8.338921662642218,True,PASS
34,T60,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,6575.0,35262.0,15190.30010384216,14628259.0,9.858373723991562,0.2612829440458046,0.3978201621108995,11.273651815239905,True,PASS
35,T321,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,57371.0,112451.0,80281.7507788162,77311326.0,11.305642413412293,0.08264420887234403,2.258816305625722,0.5140062238927869,True,PASS
36,T237,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,590357.0,1399921.0,1106355.5597092418,1065420404.0,13.908740559554587,0.06665548049570195,5.606056280187975,-0.4490158811503164,True,PASS
37,T134,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,142087.0,316712.0,223806.4932502596,215525653.0,12.304483863882163,0.14055388943102498,3.5431943211904615,4.001982325573675,True,PASS
